Academic_Period,deID,In degree,Out Degree,ACADEMIC_PERIOD_DESC,ME27400_PRIMARY_INSTRUCTOR,ME27400_FINAL_GRADE_VALUE,ME27400_FINAL_GRADE_LETTER,ME27400_REPEAT_COURSE_IND,WITHDRAWN_IND,ME27000_FINAL_GRADE_VALUE,ME27000_AP,AAE20300_FINAL_GRADE_VALUE,CE29700_FINAL_GRADE_VALUE,MSE23000_FINAL_GRADE_VALUE,CHM11500_FINAL_GRADE_VALUE,CGT16300_FINAL_GRADE_VALUE,MA16500_FINAL_GRADE_VALUE,MA16600_FINAL_GRADE_VALUE,MA16500_FINAL_GRADE_LETTER,MA16600_FINAL_GRADE_LETTER,PHYS17200_FINAL_GRADE_VALUE,PHYS17200_FINAL_GRADE_LETTER,GPA_BY_LEVEL_Previous,PROFILE_REPORTING_ETHNICITY,PROFILE_HIGHEST_SAT_MATH,PROFILE_GENDER,PROFILE_GENDER_DESC,HSGPA,MAJOR,PROFILE_HIGHEST_ACT_COMPOSITE,PROFILE_HIGHEST_ACT_MATH,PROFILE_RESIDENCE,STUDENT_CLASSIFICATION_BOAP,CREDITS_BY_LEVEL_EARNED,CREDITS_BY_TERM_EARNED,DCI_Q01pre,DCI_Q01Wpre,DCI_Q02pre,DCI_Q02Wpre,DCI_Q03pre,DCI_Q03Wpre,DCI_Q04pre,DCI_Q04Wpre,DCI_Q05pre,DCI_Q05Wpre,DCI_Q06pre,DCI_Q06Wpre,DCI_Q07pre,DCI_Q07Wpre,DCI_Q08pre,DCI_Q08Wpre,DCI_Q09pre,DCI_Q09Wpre,DCI_Q10pre,DCI_Q10Wpre,DCI_Q11pre,DCI_Q11Wpre,DCI_Q12pre,DCI_Q12Wpre,DCI_Q01post,DCI_Q01Wpost,DCI_Q02post,DCI_Q02Wpost,DCI_Q03post,DCI_Q03Wpost,DCI_Q04post,DCI_Q04Wpost,DCI_Q05post,DCI_Q05Wpost,DCI_Q06post,DCI_Q06Wpost,DCI_Q07post,DCI_Q07Wpost,DCI_Q08post,DCI_Q08Wpost,DCI_Q09post,DCI_Q09Wpost,DCI_Q10post,DCI_Q10Wpost,DCI_Q11post,DCI_Q11Wpost,DCI_Q12post,DCI_Q12Wpost,SNA_degree,SNA_indegree,SNA_outdegree,SNA_eccentricity,SNA_closenesscentrality,SNA_betweennesscentrality,SNA_strongcompnum,SNA_pageranks,SourceMatch_SNA,MSLQ1pre,MSLQ2pre,MSLQ3pre,MSLQ4pre,MSLQ5pre,MSLQ6pre,MSLQ7pre,MSLQ8pre,MSLQ9pre,MSLQ10pre,MSLQ11pre,MSLQ12pre,MSLQ13pre,MSLQ14pre,MSLQ15pre,MSLQ16pre,MSLQ17pre,MSLQ18pre,MSLQ19pre,MSLQ20pre,MSLQ21pre,MSLQ22pre,MSLQ23pre,MSLQ24pre,MSLQ25pre,MSLQ26pre,MSLQ27pre,MSLQ28pre,MSLQ29pre,MSLQ30pre,MSLQ31pre,MSLQ32pre,MSLQ33pre,MSLQ34pre,MSLQ35pre,MSLQ36pre,MSLQ37pre,MSLQ38pre,MSLQ39pre,MSLQ40pre,MSLQ41pre,MSLQ42pre,MSLQ43pre,MSLQ44pre,MSLQ45pre,MSLQ46pre,MSLQ47pre,MSLQ48pre,MSLQ49pre,MSLQ50pre,MSLQ1post,MSLQ2post,MSLQ3post,MSLQ4post,MSLQ5post,MSLQ6post,MSLQ7post,MSLQ8post,MSLQ9post,MSLQ10post,MSLQ11post,MSLQ12post,MSLQ13post,MSLQ14post,MSLQ15post,MSLQ16post,MSLQ17post,MSLQ18post,MSLQ19post,MSLQ20post,MSLQ21post,MSLQ22post,MSLQ23post,MSLQ24post,MSLQ25post,MSLQ26post,MSLQ27post,MSLQ28post,MSLQ29post,MSLQ30post,MSLQ31post,MSLQ32post,MSLQ33post,MSLQ34post,MSLQ35post,MSLQ36post,MSLQ37post,MSLQ38post,MSLQ39post,MSLQ40post,MSLQ41post,MSLQ42post,MSLQ43post,MSLQ44post,MSLQ45post,MSLQ46post,MSLQ47post,MSLQ48post,MSLQ49post,MSLQ50post,FullStudyConsent,SurveyConsent,InterviewConsent,ssi,late,sem,size,size20,ME274num,dfw,rep,repeater,graphics,prevgrade,statics,staticsnum,staticsABC,calcI,calcInum,calcIABC,calcII,calcIInum,calcIIABC,calcAvenum,calcAve,calcAveABC,physI,physInum,physIABC,gpa_boap,gpa_boap10,gpa_boap3,satMath,credits_boap,credits_boap15,ethn,intl,gender,major,majorRed,nonme,ML_WarnFlag,ML_SELP_pre,ML_PIEN_pre,ML_PIEX_pre,ML_TA_pre,ML_INTGEN_pre,ML_COLLGEN_pre,ML_INFOGEN_pre,ML_NEGGEN_pre,ML_INTYOU_pre,ML_COLLYOU_pre,ML_INFOYOU_pre,ML_NEGYOU_pre,ML_SELP_post,ML_PIEN_post,ML_PIEX_post,ML_TA_post,ML_INTGEN_post,ML_COLLGEN_post,ML_INFOGEN_post,ML_NEGGEN_post,ML_INTYOU_post,ML_COLLYOU_post,ML_INFOYOU_post,ML_NEGYOU_post,ML_SELP_ave,ML_PIEN_ave,ML_PIEX_ave,ML_TA_ave,ML_INTGEN_ave,ML_COLLGEN_ave,ML_INFOGEN_ave,ML_NEGGEN_ave,ML_INTYOU_ave,ML_COLLYOU_ave,ML_INFOYOU_ave,ML_NEGYOU_ave,instr,exp,expNum,expDyn,expTch,instr_dev,ffExp,ffExp2010,ffExp2,DCI_Q01pre_graded,DCI_Q02pre_graded,DCI_Q03pre_graded,DCI_Q04pre_graded,DCI_Q05pre_graded,DCI_Q06pre_graded,DCI_Q07pre_graded,DCI_Q08pre_graded,DCI_Q09pre_graded,DCI_Q10pre_graded,DCI_Q11pre_graded,DCI_Q12pre_graded,DCI_Q01post_graded,DCI_Q02post_graded,DCI_Q03post_graded,DCI_Q04post_graded,DCI_Q05post_graded,DCI_Q06post_graded,DCI_Q07post_graded,DCI_Q08post_graded,DCI_Q09post_graded,DCI_Q10post_graded,DCI_Q11post_graded,DCI_Q12post_graded,corPre,corPost,ngain,corPrepercent,corPostpercent,gain
201520,77@purdue.edu,26,22,Spring 2015,"Rhoads, Jeffrey F.",3,B,NA,N,4,201510,NA,NA,NA,4,NA,NA,NA,TR,NA,3.3,B+,3.64,White,770,M,Male,3.8,NUCL,26,34,R,5,84,20,E,0,A,0,B,0,E,0,D,0,C,0,B,0,B,0,E,0,D,0,A,0,E,0,E,0,A,1,B,0,E,1,D,0,A,1,C,0,B,1,E,1,C,1,B,1,D,0,48,26,22,4,0.412731006,3042.606785,41,0.0186403,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,20,1,20,167,8.35,3,0,0,0,0,0,4,4,A,NA,NA,NA,NA,NA,NA,NA,NaN,NA,3.3,3.3,B,3.64,36.4,10.92,770,64,4.266666667,White,0,M,NUCL,NUCL,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rhoads,0,0,1,1,1,7,5,49,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,5,5,0,41.66666667,41.66666667,0
201620,77@purdue.edu,12,7,Spring 2016,"Rhoads, Jeffrey F.",4,A,NA,N,4,201610,NA,NA,3,4,4,3.7,4,A-,A,3,B,3.7,White,610,F,Female,3.9,MECH,28,29,R,5,90,18,E,0,A,0,B,0,A,0,D,0,C,1,B,1,B,2,E,0,E,0,C,0,E,1,E,1,B,1,B,1,B,1,D,1,C,1,B,1,B,1,C,1,E,1,B,1,D,1,23,12,11,8,0.235081374,1527.253266,33,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,23,1,20,93,4.65,4,0,0,0,1,1,4,4,A,3.7,3.7,A,4,4,A,3.85,3.85,A,3,3,B,3.7,37,11.1,610,72,4.8,White,0,F,MECH,MECH,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rhoads,0,0,1,1,1,8,6,64,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,5,9,0.571428571,41.66666667,75,33.33333333
201520,127@purdue.edu,4,31,Spring 2015,"Rhoads, Jeffrey F.",3.7,A-,NA,N,4,201510,NA,NA,3,3,4,NA,NA,NA,NA,4,A,3.38,White,630,M,Male,3,MECH,23,29,R,4,72,15,E,0,B,0,B,0,E,0,A,0,C,0,C,0,C,0,E,0,A,0,C,0,D,0,E,0,B,0,B,0,E,1,C,1,C,1,B,1,C,1,B,1,E,1,B,0,D,0,37,4,33,5,0.468531469,818.8948203,41,0.0025299,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,20,1,20,167,8.35,3.7,0,0,0,1,1,4,4,A,NA,NA,NA,NA,NA,NA,NA,NaN,NA,4,4,A,3.38,33.8,10.14,630,57,3.8,White,0,M,MECH,MECH,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rhoads,0,0,1,1,1,7,5,49,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,7,11,0.8,58.33333333,91.66666667,33.33333333
201710,23@purdue.edu,6,1,Fall 2016,"Arrieta Diaz, Andres",3.7,A-,NA,N,4,201620,NA,NA,NA,4,4,NA,NA,NA,NA,4,A,3.98,International,NA,M,Male,NA,MECH,NA,NA,F,5,78,18,E,0,B,0,E,0,A,0,C,0,C,0,B,0,B,1,E,0,D,1,C,0,E,0,E,1,B,1,B,1,E,1,C,1,A,1,C,1,C,1,B,1,E,1,A,1,D,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,2,1,2,2,3,1,2,7,4,3,1,2,2,3,1,2,1,3,1,2,2,4,3,3,2,3,6,7,2,6,6,7,3,3,4,4,4,3,2,1,6,7,6,5,7,7,7,1,0,0,25,1,10,58,2.9,3.7,0,0,0,1,1,4,4,A,NA,NA,NA,NA,NA,NA,NA,NaN,NA,4,4,A,3.98,39.8,11.94,NA,60,4,International,1,M,MECH,MECH,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,3.25,2.25,2,1.666666667,3.333333333,2.5,5.666666667,3.333333333,3.666666667,1.5,6.428571429,2.25,3.25,2.25,2,1.666666667,3.333333333,2.5,5.666666667,3.333333333,3.666666667,1.5,6.428571429,Arrieta,3,3,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,5,8,0.428571429,41.66666667,66.66666667,25
201620,32@purdue.edu,16,6,Spring 2016,"Seipel, Justin E.",2,C,NA,N,2.3,201610,NA,NA,3,4,4,NA,2,TR,C,2.7,B-,3.2,2 or more races,660,M,Male,4,MECH,27,30,R,5,75,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,0,B,1,B,1,A,1,C,1,C,1,A,1,B,1,E,0,B,1,B,1,D,1,22,16,6,9,0.23297491,1859.414078,33,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,23,1,20,107,5.35,2,0,0,0,1,1,2.3,2.3,C,NA,NA,NA,2,2,C,2,2,C,2.7,2.7,B,3.2,32,9.6,660,61,4.066666667,Other/Unknown,0,M,MECH,MECH,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seipel,2,2,0,1,0,5,5,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,0,0,0,0,1,1,NA,7,NA,NA,58.33333333,NA
201520,76@purdue.edu,20,22,Spring 2015,"Rhoads, Jeffrey F.",3,B,NA,N,3.7,201510,NA,NA,NA,3,4,NA,NA,TR,NA,3,B,3.56,International,670,F,Female,NA,MECH,24,27,F,6,90,14,E,1,A,1,B,1,A,1,C,1,A,1,B,0,D,0,E,0,D,0,C,1,B,0,A,1,B,1,B,1,E,1,A,1,A,1,B,1,D,0,C,1,E,1,B,1,D,1,43,20,23,4,0.450672646,2242.808662,41,0.0086861,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,20,1,20,167,8.35,3,0,0,0,1,1,3.7,3.7,A,NA,NA,NA,NA,NA,NA,NA,NaN,NA,3,3,B,3.56,35.6,10.68,670,76,5.066666667,International,1,F,MECH,MECH,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rhoads,0,0,1,1,1,7,5,49,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,4,8,0.5,33.33333333,66.66666667,33.33333333
201520,52@purdue.edu,15,21,Spring 2015,"Rhoads, Jeffrey F.",4,A,NA,N,4,201510,NA,NA,4,4,4,NA,NA,TR,TR,3.3,B+,3.91,White,720,F,Female,4,MECH,30,32,N,6,94,15,E,1,B,0,D,0,A,0,D,0,B,1,C,0,C,0,E,0,A,0,C,0,B,0,E,1,B,1,B,1,E,1,D,1,C,1,B,1,C,1,C,1,E,1,B,1,D,1,38,15,23,4,0.427659574,2351.774429,41,0.0113779,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,20,1,20,167,8.35,4,0,0,0,1,1,4,4,A,NA,NA,NA,NA,NA,NA,NA,NaN,NA,3.3,3.3,B,3.91,39.1,11.73,720,79,5.266666667,White,0,F,MECH,MECH,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rhoads,0,0,1,1,1,7,5,49,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,3,11,0.888888889,25,91.66666667,66.66666667
201620,14@purdue.edu,10,11,Spring 2016,"Arrieta Diaz, Andres",2,C,NA,N,2.3,201610,NA,NA,2,3,4,2.7,2.3,B-,C+,2.7,B-,2.92,Hispanic/Latino,660,M,Male,3.6,MECH,NA,NA,N,4,76,18,E,0,A,1,B,0,A,1,C,1,C,1,B,1,D,1,E,0,A,1,C,1,C,1,E,1,B,1,B,1,E,1,B,1,C,1,A,1,B,1,E,0,A,1,B,1,D,1,14,10,4,10,0.190895742,964.3695055,33,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,23,1,20,98,4.9,2,0,0,0,1,1,2.3,2.3,C,2.7,2.7,B,2.3,2.3,C,2.5,2.5,B,2.7,2.7,B,2.92,29.2,8.76,660,58,3.866666667,URM,0,M,MECH,MECH,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arrieta,3,3,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,5,7,0.285714286,41.66666667,58.33333333,16.66666667
201710,35@purdue.edu,2,8,Fall 2016,"Arrieta Diaz, Andres",2.7,B-,I,N,3.7,201530,NA,NA,NA,4,4,NA,NA,TR,NA,2.7,B-,2.76,White,710,M,Male,4,MECH,NA,NA,R,6,100,12,A,0,C,0,B,0,B,0,C,0,A,1,B,0,B,2,E,0,C,0,C,0,D,0,A,1,B,1,B,1,D,1,C,1,C,1,B,1,B,1,E,1,E,1,E,0,D,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,3,2,2,3,2,2,2,3,5,2,3,2,1,1,1,1,1,1,3,3,3,3,2,3,2,2,3,5,5,4,5,5,4,3,4,3,4,3,2,2,5,6,6,6,4,5,5,2,0,0,25,1,10,58,2.9,2.7,0,1,1,1,1,3.7,3.7,A,NA,NA,NA,NA,NA,NA,NA,NaN,NA,2.7,2.7,B,2.76,27.6,8.28,710,88,5.866666667,White,0,M,MECH,MECH,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,2.25,2.75,1,3,2.666666667,2,4.5,3.666666667,3.333333333,2,5.285714286,2.25,2.25,2.75,1,3,2.666666667,2,4.5,3.666666667,3.333333333,2,5.285714286,Arrieta,3,3,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,4,7,0.375,33.33333333,58.33333333,25
201520,80@purdue.edu,17,24,Spring 2015,"Cappelleri, David J.",2.7,B-,NA,N,3,201410,NA,NA,3,3,4,NA,NA,NA,NA,3,B,3.19,White,720,M,Male,4,MECH,NA,NA,R,7,104,14,A,0,A,0,B,0,A,0,C,0,A,0,B,0,B,0,E,0,E,0,C,0,B,0,A,1,B,1,B,1,E,1,A,1,A,1,B,1,B,0,E,1,C,1,B,1,B,1,42,18,24,5,0.385796545,1961.870529,41,0.0101905,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,20,1,20,116,5.8,2.7,0,0,0,1,1,3,3,B,NA,NA,NA,NA,NA,NA,NA,NaN,NA,3,3,B,3.19,31.9,9.57,720,90,6,White,0,M,MECH,MECH,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cappelleri,1,1,1,1,0,3,3,9,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,4,5,0.125,33.33333333,41.66666667,8.333333333
