,poster,commenter,time
0,0@purdue.edu,2@purdue.edu,2015-01-14 01:45:56
1,0@purdue.edu,3@purdue.edu,2015-01-17 13:04:03
2,0@purdue.edu,2@purdue.edu,2015-02-16 19:40:21
3,2@purdue.edu,4@purdue.edu,2015-02-17 20:10:05
4,0@purdue.edu,4@purdue.edu,2015-02-17 20:55:59
5,4@purdue.edu,5@purdue.edu,2015-02-17 23:03:19
6,5@purdue.edu,5@purdue.edu,2015-02-17 23:19:20
7,5@purdue.edu,4@purdue.edu,2015-02-18 10:53:09
8,4@purdue.edu,6@purdue.edu,2015-02-18 17:10:35
9,0@purdue.edu,7@purdue.edu,2015-02-18 17:42:20
10,7@purdue.edu,8@purdue.edu,2015-02-18 19:37:45
11,4@purdue.edu,9@purdue.edu,2015-02-18 19:42:21
12,0@purdue.edu,10@purdue.edu,2015-02-18 23:36:33
13,0@purdue.edu,11@purdue.edu,2015-02-19 12:44:44
14,2@purdue.edu,12@purdue.edu,2015-02-19 13:41:26
15,0@purdue.edu,13@purdue.edu,2015-03-02 14:37:38
16,0@purdue.edu,14@purdue.edu,2015-03-06 18:49:37
17,0@purdue.edu,15@purdue.edu,2015-03-06 20:52:15
18,0@purdue.edu,16@purdue.edu,2015-03-11 15:33:38
19,16@purdue.edu,17@purdue.edu,2015-05-01 21:36:56
20,10@purdue.edu,18@purdue.edu,2015-05-02 11:47:47
21,18@purdue.edu,19@purdue.edu,2015-05-02 16:45:59
22,16@purdue.edu,8@purdue.edu,2015-05-03 14:46:29
23,8@purdue.edu,20@purdue.edu,2015-05-03 15:42:43
24,0@purdue.edu,20@purdue.edu,2015-05-03 16:03:48
25,8@purdue.edu,19@purdue.edu,2015-05-03 17:36:33
26,20@purdue.edu,19@purdue.edu,2015-05-03 17:37:59
27,8@purdue.edu,21@purdue.edu,2015-05-03 21:26:57
28,21@purdue.edu,21@purdue.edu,2015-05-03 21:30:27
29,0@purdue.edu,22@purdue.edu,2015-05-03 21:34:09
30,17@purdue.edu,23@purdue.edu,2015-05-03 23:04:36
31,22@purdue.edu,24@purdue.edu,2015-05-04 12:43:51
32,8@purdue.edu,25@purdue.edu,2015-05-04 13:55:05
33,25@purdue.edu,12@purdue.edu,2015-05-04 14:01:21
34,8@purdue.edu,12@purdue.edu,2015-05-04 14:02:18
35,19@purdue.edu,25@purdue.edu,2015-05-04 14:02:23
36,25@purdue.edu,26@purdue.edu,2015-05-04 14:30:11
37,18@purdue.edu,12@purdue.edu,2015-05-04 14:44:47
38,16@purdue.edu,26@purdue.edu,2015-05-04 18:59:03
39,25@purdue.edu,27@purdue.edu,2015-05-04 20:00:55
40,26@purdue.edu,28@purdue.edu,2015-05-04 22:46:10
41,1@purdue.edu,29@purdue.edu,2015-01-22 15:29:08
42,1@purdue.edu,30@purdue.edu,2015-01-27 11:41:47
43,30@purdue.edu,31@purdue.edu,2015-01-27 17:45:04
44,31@purdue.edu,31@purdue.edu,2015-01-27 17:45:59
45,30@purdue.edu,32@purdue.edu,2015-01-27 18:42:48
46,32@purdue.edu,33@purdue.edu,2015-01-27 19:14:53
47,33@purdue.edu,34@purdue.edu,2015-01-27 21:18:45
48,31@purdue.edu,35@purdue.edu,2015-01-27 22:14:21
49,1@purdue.edu,33@purdue.edu,2015-01-27 22:54:02
50,1@purdue.edu,36@purdue.edu,2015-01-17 15:11:02
51,1@purdue.edu,37@purdue.edu,2015-01-22 15:28:04
52,37@purdue.edu,29@purdue.edu,2015-01-27 19:24:49
53,36@purdue.edu,12@purdue.edu,2015-02-19 13:40:34
54,0@purdue.edu,38@purdue.edu,2015-01-12 09:36:38
55,38@purdue.edu,39@purdue.edu,2015-01-12 09:40:16
56,0@purdue.edu,40@purdue.edu,2015-01-12 13:25:48
57,40@purdue.edu,41@purdue.edu,2015-01-12 13:56:03
58,0@purdue.edu,18@purdue.edu,2015-01-12 14:47:16
59,18@purdue.edu,38@purdue.edu,2015-01-12 15:34:02
60,0@purdue.edu,42@purdue.edu,2015-01-12 17:05:33
61,41@purdue.edu,43@purdue.edu,2015-01-12 20:18:29
62,18@purdue.edu,44@purdue.edu,2015-01-12 21:00:57
63,42@purdue.edu,45@purdue.edu,2015-01-12 21:29:58
64,42@purdue.edu,46@purdue.edu,2015-01-12 21:59:03
65,18@purdue.edu,47@purdue.edu,2015-01-12 22:15:24
66,18@purdue.edu,48@purdue.edu,2015-01-12 22:15:49
67,48@purdue.edu,49@purdue.edu,2015-01-12 22:18:52
68,45@purdue.edu,50@purdue.edu,2015-01-12 23:47:27
69,0@purdue.edu,51@purdue.edu,2015-01-13 09:46:01
70,0@purdue.edu,52@purdue.edu,2015-01-13 10:15:22
71,52@purdue.edu,34@purdue.edu,2015-01-13 14:40:12
