,start
0@purdue.edu,2015-08-26 12:00:28
10@purdue.edu,2015-09-24 13:14:31
11@purdue.edu,2015-09-28 09:33:57
12@purdue.edu,2015-09-28 09:37:01
13@purdue.edu,2015-09-29 12:26:19
14@purdue.edu,2015-10-04 23:28:49
15@purdue.edu,2015-10-05 23:09:02
16@purdue.edu,2015-10-06 15:25:16
17@purdue.edu,2015-10-07 01:56:20
18@purdue.edu,2015-10-06 15:58:57
19@purdue.edu,2015-10-06 17:06:13
20@purdue.edu,2015-10-06 20:17:17
21@purdue.edu,2015-10-08 15:27:05
22@purdue.edu,2015-10-13 12:42:40
23@purdue.edu,2015-10-13 16:13:32
24@purdue.edu,2015-10-13 20:21:57
25@purdue.edu,2015-10-14 16:15:57
26@purdue.edu,2015-10-15 15:46:14
27@purdue.edu,2015-10-18 13:49:26
28@purdue.edu,2015-10-20 16:09:34
29@purdue.edu,2015-10-22 18:08:34
2@purdue.edu,2015-08-27 16:21:20
30@purdue.edu,2015-10-22 20:31:04
31@purdue.edu,2015-10-25 22:02:24
32@purdue.edu,2015-11-01 18:25:51
33@purdue.edu,2015-11-08 18:23:13
34@purdue.edu,2015-11-09 09:47:45
35@purdue.edu,2015-11-10 22:49:15
36@purdue.edu,2015-11-12 23:39:07
37@purdue.edu,2015-11-13 12:30:46
38@purdue.edu,2015-12-11 12:45:50
39@purdue.edu,2015-12-08 18:17:07
3@purdue.edu,2015-08-26 20:33:10
4@purdue.edu,2015-08-26 21:34:43
5@purdue.edu,2015-08-26 21:46:33
6@purdue.edu,2015-08-27 11:59:00
7@purdue.edu,2015-08-27 14:15:01
8@purdue.edu,2015-08-27 21:40:01
9@purdue.edu,2015-09-08 01:00:51
